rgi_index,volume,volume_change,area
16561,22937147.709960938,-6029397.235809326,495000.0
16562,226464.56887817383,4472.13472533226,32500.0
16563,35474552.400756836,-7517068.562599182,847500.0
16564,4114281.1181640625,-365036.239944458,137500.0
16565,5273219.1875,-600100.7071533203,177500.0
16566,20524020.626464844,-129960.85292053223,745000.0
16567,17734352.74975586,-8172407.960083008,355000.0
16568,732859.8020019531,114387.41674804688,47500.0
16569,8526704.921875,-2506160.9453125,222500.0
16570,42249714.923339844,3012833.8783569336,667500.0
16571,15153668.481445312,-1502161.9137039185,425000.0
16572,22293804.114257812,-4160941.972797394,545000.0
16573,22630574.227783203,-4264611.995110512,547500.0
16574,198489727.09692383,-26848901.88789177,2930000.0
16575,17593239.968017578,-2939675.063430786,450000.0
16576,6499928.613769531,-1788053.927734375,175000.0
16577,4034216.9272460938,-887027.3652324677,165000.0
16578,6044441.391113281,-695140.5409660339,210000.0
16579,21710639.811157227,-2442622.7326202393,620000.0
16580,38747397.906535864,-7948820.650263786,802500.0
16581,560636.4383544922,34018.90234375,57500.0
16582,7023360.115966797,-948209.9407043457,265000.0
16583,911686.6701774597,-49575.573959350586,72500.0
16584,5074631.0,-1258194.5145759732,167500.0
16585,4670567.890625,-853496.0903320312,127500.0
16586,19665897.63684082,-3016605.1335926056,375000.0
16587,30647634.11376953,-5309239.534163952,545000.0
16588,6280588.6728515625,-88754.97085571289,220000.0
16589,124021789.54003906,-23372015.85921669,1950000.0
16590,4378826.033935547,-1569638.5069580078,170000.0
16591,2721934.6513671875,-1778075.3154296875,115000.0
16592,738498.5588378906,-421688.833984375,75000.0
16593,21274425.10583496,-6429709.130859375,400000.0
16594,23111428.272338867,-7308161.500701904,480000.0
16595,4015006.8491210938,-2969815.9443359375,177500.0
16596,8200439.755882263,-3820767.6955566406,267500.0
16597,3044702.068359375,-1324106.1252441406,142500.0
16598,811164.0262451172,-511234.53515625,50000.0
16599,2640913.2561035156,-597942.5533370972,110000.0
16600,2209729.05859375,-1460504.765625,90000.0
16601,1017155.9187011719,150847.18533325195,52500.0
16602,1881927.989868164,-264389.53454589844,107500.0
16603,140099327.48242188,-22343960.864247322,1970000.0
16604,70559081.88842773,-15081296.23071289,1307500.0
16605,2007408.4624023438,284126.27978515625,57500.0
16606,401974389.22106934,-65955662.30098724,4800000.0
16607,9578866.232849121,-1273317.7016448975,260000.0
16608,176913340.28466797,-30712472.13151169,2342500.0
16609,654932290.3012695,-131241568.52108002,6775000.0
16610,291457632.1850586,-43262463.23529053,3637500.0
16611,416328777.7602539,-64033007.12800026,5092500.0
16612,785049811.2836914,-140251898.5471077,7792500.0
16613,302553883.08935547,-46333345.662174225,4212500.0
16614,27019402.733642578,-6137606.26071167,542500.0
16615,358242918.5003662,-79835621.93072128,4355000.0
16616,17280023.30859375,-5213508.810028076,525000.0
16617,31555563.702148438,-2508068.650154114,650000.0
16618,7946993.448730469,-2487562.6275634766,230000.0
16619,5566705.642730713,-674775.595952034,220000.0
16620,5967484.3031311035,-3097540.095703125,215000.0
16621,1784587.6513671875,-1213187.0688476562,77500.0
16622,6024437.95703125,-3197356.7626953125,145000.0
16623,12310589.366455078,-7550252.124221802,347500.0
16624,7130096.161865234,2084066.3207015991,337500.0
16625,20926359.293258667,-6263276.850627899,495000.0
16626,5735020.630950928,-5050297.106811523,240000.0
16627,13138032.1640625,-1172874.3977661133,240000.0
16628,2698248.5791015625,-1023048.7842407227,80000.0
16629,2897966.2905273438,-2031030.4638671875,125000.0
16630,21440103.91064453,5993368.41519165,397500.0
16631,3430664.9228515625,-644917.3076324463,172500.0
16632,2669398.65625,-1536481.7651367188,85000.0
16633,1748707.017578125,-1660676.658203125,75000.0
16634,1841439.503753662,341944.3352050781,90000.0
16635,11443974.250427246,-8920829.372150421,415000.0
16636,45475744.841796875,-1595627.5020112991,812500.0
16637,12456522.769165039,-1483349.6755981445,307500.0
16638,39789207.47796631,-3226249.562232971,810000.0
16639,24967542.24609375,-14270726.881607056,700000.0
16640,3956169.435546875,-1142642.5760803223,205000.0
16641,2247285.2036132812,-1315002.7586975098,142500.0
16642,11864036.329559326,-1731416.2684020996,310000.0
16643,100760926.97558594,-8035039.483633995,1860000.0
16644,34862925.51098633,-8027777.707550049,867500.0
16645,2668689.4204101562,-627600.5490722656,110000.0
16646,55305873.9609375,-11448606.87486267,1135000.0
16647,14412454.218276978,-2816479.32015419,497500.0
16648,7153058.572845459,-1130623.1153564453,220000.0
16649,55424776.322631836,-15328712.881469727,1017500.0
16650,114503732.53479004,-18700770.551079273,2137500.0
16651,4757824.5859375,-928580.9707336426,160000.0
16652,1302123.5484771729,-95388.24655151367,122500.0
16653,13484731.953125,-2190705.6474609375,257500.0
16654,561166590.8022461,-104939818.00917053,6877500.0
16655,139703531.02734375,-11220582.832118988,2395000.0
16656,2054862.208984375,-826456.33984375,102500.0
16657,1292630.3666992188,0.0,115000.0
16658,5709205.442138672,-841538.496307373,187500.0
16659,7106934.298095703,-1975074.0742797852,225000.0
16660,88072796.95947266,-12878534.21364975,1567500.0
16661,6265042.144042969,-1543716.725402832,225000.0
16662,40219296.33534241,-13835689.5491333,875000.0
16663,28293012.071289062,-7266081.703216553,690000.0
16664,34546446.271728516,-7222609.60357666,677500.0
16665,62291000.30810547,-11403942.637451172,1007500.0
16666,13653851.579345703,-6611319.232055664,417500.0
16667,1393195.4438476562,-586270.9384765625,65000.0
16668,284614643.92225266,-40576731.925992966,4350000.0
16669,264758622.46826172,-31416455.90178299,3852500.0
16670,12389065.482808113,-12641408.291442871,535000.0
16671,4640435.458984375,-1525163.2711486816,200000.0
16672,5746884.406616211,-3485559.410888672,157500.0
16673,4172520.5850219727,-2593885.341003418,200000.0
16674,3939340.931640625,-785259.5410842896,137500.0
16675,104800322.67199707,-36354669.05557251,1820000.0
16676,1549535.2473144531,-328094.85791015625,57500.0
16677,38797963.165649414,-8931966.740177155,850000.0
16678,4906285.9951171875,331827.4172821045,145000.0
16679,47112244.279296875,-7426755.931945801,835000.0
16680,175433973.67797852,-38003120.74926376,2947500.0
16681,5083328.9423828125,-56307.80849838257,165000.0
16682,523147.88582611084,7685.051239013672,57500.0
16683,114339527.32397461,-774978.2385325432,2110000.0
16684,329483258.67276,-45950748.74145508,3287500.0
16685,24640054.1640625,-3016050.116695404,495000.0
16686,1601321.7333602905,-509123.9022216797,122500.0
16687,70491297.21252441,-17072586.665771484,1230000.0
16688,3869204.1147460938,-1362748.7525634766,162500.0
16689,9086772.282043457,-781931.7102370262,342500.0
16690,175110025.5925293,-26514792.281555176,2295000.0
16691,3192.4706802368164,-261856.705078125,30000.0
16692,26144876.810424805,-3300375.9707450867,622500.0
16693,197498465.67285156,-39087454.333602905,2572500.0
16694,23238944.599487305,-3305530.2862668037,557500.0
16695,2630948.7783203125,-93100.51620483398,122500.0
16696,34298350.96972656,-3340406.8060302734,995000.0
16697,46266620.130371094,-5112593.624320984,1100000.0
16698,105140.56211280823,85323.86075592041,145000.0
16699,1388701.0583648682,-1339176.1863098145,320000.0
16700,11608039.703033447,-1911890.088684082,335000.0
16701,23377048.55090332,-2212320.6257896423,540000.0
16702,8024292.586181641,4585601.395629883,312500.0
16703,29196099.893310547,-3247474.1172332764,542500.0
16704,40978816.66886139,-13847877.17591858,842500.0
16705,73972940.29327393,-11427495.527816772,1407500.0
16706,114405258.7157898,-35163359.11248779,2427500.0
16707,28648817.614257812,-5057492.796791077,735000.0
16708,8730879.700012207,-439301.14223861694,300000.0
16709,50598281.814453125,-10814775.444458008,967500.0
16710,4799988.869140625,-728345.6755371094,145000.0
16711,7125294.026794434,-1601393.6235046387,295000.0
16712,32899136.167236328,-7608944.528991222,882500.0
16713,95235812.02005005,-22177588.80328369,1885000.0
16714,498935.7349243164,-307989.0595397949,65000.0
16715,23725934.89501953,-4822062.4959106445,517500.0
16716,3683946.018310547,9379.046798706055,172500.0
16717,13217680.116333008,-3221198.0695343018,442500.0
16718,61821809.98736572,-14744381.626861572,1277500.0
16719,155636206.35302734,-16285398.700745344,2675000.0
16720,3579941.929321289,-251473.98672485352,105000.0
16721,3553390.85546875,-2490408.2875976562,95000.0
16722,368241189.640625,-112260439.345015,6357500.0
16723,1516509.2650146484,-890259.1121826172,87500.0
16724,82847130.47845459,-39798514.28771973,1835000.0
16725,4126141.7817382812,-2611705.447265625,172500.0
16726,133745467.88265991,-31566818.708854675,2422500.0
16727,20544399392.26465,-2746075048.8119907,106092500.0
16728,227855693.68041992,-36266954.60992241,3802500.0
16729,58346701.804260254,1963414.4153709412,1195000.0
16730,526315277.3679199,-44293710.790346146,7477500.0
16731,135370272.12475586,-27432965.87025261,2205000.0
16732,2226016263.1582146,-205177728.60894728,25645000.0
16733,138980406.47047424,-17207688.321746826,2480000.0
16734,21747690.947402954,-255254.26754760742,620000.0
16735,7443888.684814453,-3415222.404724121,312500.0
16736,5330868.049438477,38738.206535339355,302500.0
16737,1808773.380859375,877882.6888580322,110000.0
16738,11368247.967285156,-1662142.8501434326,427500.0
16739,166781621.34379578,-16771779.149398804,2810000.0
16740,1646055.7516174316,-250573.69702148438,90000.0
16741,215847783.46118164,-53411517.04706192,3915000.0
16742,2521386.8383789062,-636125.6395263672,120000.0
16743,144641451.26757812,-27188194.708198547,1810000.0
16744,5662467320.667969,-649640928.7188375,31757500.0
16745,371853309.4465332,-91804392.65305328,4985000.0
16746,2982931.989440918,-832690.4399108887,142500.0
16747,19926480.953125,-4399001.365509033,520000.0
16748,1797109904.5043335,-380461371.8805027,16312500.0
16749,3827667.9497070312,-847285.6376953125,152500.0
16750,4379304.9828186035,-1126600.2878417969,182500.0
16751,8996794.291015625,-4025293.6975097656,307500.0
16752,1955601.9356689453,-180039.83392333984,87500.0
16753,34152613.81640625,-5582389.226043701,742500.0
16754,245448604.881958,-31028613.928668976,2347500.0
16755,215363100.27579498,-57390645.48137665,3370000.0
16756,422725509.5857544,-101148552.98270035,5785000.0
16757,10965430004.162346,-1714184430.737447,93242500.0
16758,3558814.6093940735,-532639.3334655762,142500.0
16759,9884186.631317139,-1029810.9052124023,245000.0
16760,16697616.2890625,-2742638.9110946655,417500.0
16761,2141538.2958984375,-313264.0570373535,77500.0
16762,4760063.6025390625,-1023292.4493408203,175000.0
16763,12982527.840820312,-3570420.4654541016,347500.0
16764,6493208.288330078,-1099640.879232645,192500.0
16765,24921885.37677002,-6203929.962341309,505000.0
16766,36015892.10058594,-6372133.503944397,762500.0
16767,1894857.8364257812,-116846.12208557129,77500.0
16768,13991600.176513672,-2395006.1736450195,442500.0
16769,16800156.67590332,-3443258.3519210815,455000.0
16770,92276898.19116211,-16473248.964927673,1670000.0
16771,2554630.9822998047,-744890.6275024414,147500.0
16772,2878929.925765991,-538489.89453125,115000.0
16773,3236759.0354003906,446312.45123291016,172500.0
16774,8806277.609375,-3117224.3337402344,267500.0
16775,1655438.7735595703,-591349.3992919922,97500.0
16776,6403201.3974609375,-1265788.601348877,200000.0
16777,7606376.946685791,-503562.7380371094,262500.0
16778,12351932.110839844,-3133962.985107422,377500.0
16779,6283299.9453125,-888260.2649650574,207500.0
16780,1051897.6557617188,-215742.94470214844,52500.0
16781,3537116.498046875,-169715.11640167236,117500.0
16782,14551856.776367188,-4727078.480262756,465000.0
16783,15989870.799468994,-3727836.3246154785,480000.0
16784,1589763.3391418457,17477.599608421326,80000.0
16785,6659039.01171875,-1343081.7653274536,255000.0
16786,21640346.749526978,-2043078.9991464615,615000.0
16787,542109.7474517822,192345.36791992188,47500.0
16788,19032320.0513916,-3137319.5060653687,542500.0
16789,2001298515.017929,-364395510.5152197,21600000.0
16790,90971591.6875,-16475835.87046814,1660000.0
16791,7312659.461425781,64138.561964035034,237500.0
16792,40366693.736816406,-7286281.52142334,660000.0
16793,806022594.1709595,-111993749.62933946,11255000.0
16794,29644733.113632202,-1626396.5441570282,970000.0
16795,5408334.85546875,-533641.9903793335,185000.0
16796,2895466.596130371,-125138.90312194824,155000.0
16797,3166592.09375,-269492.7735748291,132500.0
16798,6724498.3583984375,-673672.3306732178,182500.0
16799,19070763.208984375,-1883315.8708877563,465000.0
16800,3565009.119140625,-88523.08560180664,160000.0
16801,6216691.605957031,-295418.55868911743,257500.0
16802,2722533.7006835938,399367.7046508789,127500.0
16803,86082060.02612305,-10721203.91865158,1685000.0
16804,3497212.3647460938,-360554.9992980957,152500.0
16805,11942956.71142292,-282606.15489673615,572500.0
16806,2748252.2124023438,-406750.34478759766,127500.0
16807,2048635.765045166,-211982.02867889404,112500.0
16808,3847651.4287109375,-469335.73614501953,152500.0
16809,829967.2763671875,54364.14367675781,47500.0
16810,12520555.74194336,-2962628.868988037,370000.0
16811,70221273.06414032,-12601543.313736916,1310000.0
16812,8521045.875488281,-2047200.4872999191,255000.0
16813,6567801.250366211,-246427.26679992676,207500.0
16814,9008400.27895689,953151.2019348145,445000.0
16815,65034036.98779297,-7317130.725888252,1207500.0
16816,976417650.2793274,-164050642.27868858,15412500.0
16817,19308854.814697266,-1551391.752418518,377500.0
16818,5284599.477020264,-741150.724395752,170000.0
16819,10075654.668663025,-2046083.1765909195,305000.0
16820,3636922.4455566406,-102018.55712890625,165000.0
16821,5092663.990478516,-1126630.9448947906,235000.0
16822,1750495.6954345703,-424633.9548339844,90000.0
16823,4197600.623046875,-1226401.0250854492,197500.0
16824,3883792.1806640625,312487.92962646484,145000.0
16825,9348495.244995117,-2112164.7787323,417500.0
16826,2567497.423095703,-467942.9920654297,127500.0
16827,12319.74819946289,298252.419921875,32500.0
16828,29261645.740722656,-2105747.001098633,695000.0
16829,175440862.65260315,-8625520.022229195,3555000.0
16830,17244853.428710938,-1027754.0502319336,390000.0
16831,2348422.003173828,-332518.32677078247,140000.0
16832,8694020.370391846,-2131954.6054992676,332500.0
16833,33071368.560546875,-17923893.806793213,845000.0
16834,110201603.99798584,-5676411.764816284,2270000.0
16835,650332513.941391,-37528596.72238541,6915000.0
16836,47214322.92871094,-9833727.155662537,1302500.0
16837,53433729.06152344,-4430596.603790283,1520000.0
16838,453146807.53344727,-97274683.49430847,4687500.0
16839,2055048.7919921875,-343552.7532348633,75000.0
16840,4784979.895629883,-829719.1114501953,160000.0
16841,251146092.4454956,-48031122.38024902,3115000.0
16842,2929735.326171875,-1247207.7255859375,85000.0
16843,4137210.1328125,-187764.06958007812,150000.0
16844,2159790.778198242,-88110.96513366699,70000.0
16845,33327842.4927063,-4769624.34239006,725000.0
16846,1871562.8126220703,-162232.5451965332,87500.0
16847,762057832.6147461,-73922187.724617,9582500.0
16848,331356.45947265625,215766.13452148438,30000.0
16849,3209920.478515625,-330737.77780914307,127500.0
16850,29207654.883789062,-1964602.1330680847,642500.0
16851,37224869.04248047,-6497500.026901245,1002500.0
16852,151363268.93200684,-14151990.763946533,2797500.0
16853,662519525.8540039,-19403536.65186882,7355000.0
16854,998296.8680419922,-277820.16650390625,77500.0
16855,686356467.7120361,-22811097.03639579,9025000.0
16856,190996443.29856873,-11602891.432888985,3422500.0
16857,19157163.041992188,-2760539.355529785,572500.0
16858,14374082.19329834,-347672.6071166992,455000.0
16859,42861650.98535156,-3037876.597543955,1055000.0
16860,45302055.118896484,-6737279.3878479,940000.0
16861,162707399.96704102,-36932733.43028736,1962500.0
16862,24481119.060760498,-7956989.938568115,675000.0
16863,3962915.3791503906,60871.5419921875,162500.0
16864,4921942.279418945,-157566.4785079956,172500.0
16865,7402971.573730469,65060.986907958984,142500.0
16866,345381778.364624,-34941789.89656067,4132500.0
16867,674787404.9312744,-131115847.33995819,9590000.0
16868,43065155.10321045,-10223512.223949432,1377500.0
16869,24492529.724121094,-4474254.268959045,697500.0
16870,5282705.5380859375,-548378.0877189636,147500.0
16871,187229096.08120728,-24974301.780090332,3980000.0
16872,222909748.6500244,-19203610.15924263,5270000.0
16873,27178543.314941406,-5244184.605224609,550000.0
16874,3585931.930053711,-1665526.939453125,122500.0
16875,3173756.336669922,-1281070.7715759277,145000.0
16876,775092.9262695312,-323486.8125,47500.0
16877,2264970.8793945312,-537820.3462524414,87500.0
16878,4611902.939109802,-534186.3410644531,185000.0
16879,1445459.6860351562,-262930.179397583,70000.0
16880,61955125.46826172,-7488156.640869141,920000.0
16881,839305.6650390625,-266806.3114013672,50000.0
16882,34934647.03646088,-11266228.680350304,1135000.0
16883,2318569.002685547,-1608486.94921875,97500.0
16884,4370023.779785156,333064.1680908203,192500.0
16885,58216603.98013306,-5423630.063724518,1072500.0
16886,97694128.8959961,-14780106.603618622,1427500.0
16887,45222692.220703125,-3411492.618572235,982500.0
16888,68878257.89013672,-28206895.06451416,1312500.0
16889,20597107.04296875,-4997973.913574219,495000.0
16890,10470860.231933594,-3165105.6095809937,312500.0
16891,2387243.637714386,-1018789.462890625,185000.0
16892,1923773.541809082,-788037.8370056152,120000.0
16893,9182348.680664062,-464493.8407535553,225000.0
16894,12305786.72529602,-4746333.968261719,355000.0
16895,21432288.120361328,-7163551.010284424,565000.0
16896,170921254.85742188,-29936879.362854004,2237500.0
